batch_range,avg_response_ms,max_response_ms,min_response_ms
1–100,2722.1708488464355,5796.793222427368,84.5794677734375
101–200,1730.4543137550354,6934.332370758057,14.546394348144531
201–300,192.55924701690674,859.0052127838135,11.49749755859375
301–400,431.5095090866089,1582.6990604400635,20.613670349121094
401–500,113.93924236297607,215.22974967956543,3.901243209838867
501–600,45.59436798095703,227.70118713378906,16.694068908691406
601–700,139.91341829299927,414.6566390991211,32.5932502746582
701–800,155.87267398834229,419.2960262298584,14.195442199707031
801–900,48.980770111083984,138.24081420898438,18.886566162109375
901–1000,112.87548542022705,1325.4871368408203,6.683588027954102
1001–1100,143.69451522827148,603.8217544555664,16.176939010620117
1101–1200,928.5644388198853,1453.695297241211,244.45247650146484
1201–1300,898.0824851989746,2866.351842880249,11.885404586791992
1301–1400,75.83458423614502,176.21183395385742,14.03951644897461
1401–1500,356.96380853652954,1641.8483257293701,81.70413970947266
1501–1600,567.29416847229,1038.461446762085,182.84344673156738
1601–1700,509.14379596710205,757.3182582855225,175.2007007598877
1701–1800,348.87094736099243,573.8623142242432,100.23260116577148
1801–1900,295.22785663604736,511.8885040283203,91.19105339050293
1901–2000,407.77353286743164,844.2373275756836,81.10618591308594
2001–2100,504.25540685653687,1972.4323749542236,162.6448631286621
2101–2200,430.747606754303,2867.7587509155273,176.05876922607422
2201–2300,317.44484186172485,657.6957702636719,151.41987800598145
2301–2400,246.002836227417,430.2237033843994,83.9850902557373
2401–2500,130.3296136856079,235.01110076904297,26.686429977416992
2501–2600,237.32388019561768,428.8206100463867,40.86947441101074
2601–2700,551.9770383834839,935.4248046875,148.0545997619629
2701–2800,813.1880283355713,1180.0141334533691,318.03035736083984
2801–2900,380.64608812332153,790.3404235839844,64.37468528747559
2901–3000,452.12526082992554,765.0513648986816,169.35205459594727
3001–3100,702.9227995872498,1289.2954349517822,209.89990234375
3101–3200,1253.975863456726,2460.8490467071533,324.77807998657227
3201–3300,1699.748032093048,3745.8853721618652,225.76379776000977
3301–3400,1064.3012881278992,4427.032947540283,317.09742546081543
3401–3500,926.3018536567688,3906.7649841308594,216.7491912841797
3501–3600,871.5033483505249,1523.1728553771973,206.49433135986328
3601–3700,1217.6037096977234,3715.059280395508,428.85828018188477
3701–3800,1618.2889485359192,3863.0590438842773,338.4275436401367
3801–3900,1297.7142524719238,3546.0097789764404,310.0905418395996
3901–4000,1101.222333908081,3146.291971206665,357.3923110961914
4001–4100,1169.2641305923462,4024.991750717163,284.0297222137451
4101–4200,1562.664942741394,5327.702522277832,285.2442264556885
4201–4300,1850.2180862426758,5210.854768753052,391.4930820465088
4301–4400,1512.0348238945007,4996.244430541992,450.0455856323242
4401–4500,1648.6346650123596,7152.76026725769,430.39608001708984
4501–4600,1814.1114497184753,7104.687213897705,264.0213966369629
4601–4700,1771.2423610687256,5147.610425949097,464.2786979675293
4701–4800,1760.8775472640991,6333.295583724976,296.0221767425537
4801–4900,1466.8112206459045,5417.00291633606,458.1573009490967
4901–5000,1548.8170433044434,5324.535608291626,299.4973659515381
5001–5100,1658.6400890350342,4410.531997680664,434.9219799041748
5101–5200,1452.7199006080627,6810.741424560547,238.48819732666016
5201–5300,3080.926492214203,7661.674976348877,401.23653411865234
5301–5400,1321.9213652610779,8310.58120727539,432.1155548095703
5401–5500,2441.112470626831,11533.76317024231,235.71205139160156
5501–5600,3043.366985321045,11854.825973510742,283.1554412841797
5601–5700,1654.5362758636475,13548.165082931519,311.4628791809082
5701–5800,4568.498735427856,14815.98973274231,283.2155227661133
5801–5900,4059.6450877189636,12504.313707351685,343.69969367980957
5901–6000,1308.137445449829,11964.678287506104,280.627965927124
6001–6100,1906.1592602729797,11775.533676147461,447.99256324768066
6101–6200,3692.79438495636,14032.025575637817,251.71422958374023
6201–6300,2834.9094367027283,13914.088010787964,236.71340942382812
6301–6400,2445.2080607414246,11248.313188552856,125.84114074707031
6401–6500,2542.7567505836487,8298.39277267456,358.81805419921875
6501–6600,2063.5011315345764,7949.958086013794,309.4477653503418
6601–6700,2018.9142751693726,8605.43704032898,303.56788635253906
6701–6800,1484.9589037895203,8462.371587753296,251.85704231262207
6801–6900,1760.6293034553528,6490.390300750732,254.16278839111328
6901–7000,1129.9096012115479,4520.982503890991,295.2461242675781
7001–7100,1341.575734615326,5579.828262329102,317.76881217956543
7101–7200,1514.3938899040222,6378.627061843872,280.6239128112793
7201–7300,1014.2863297462463,8158.28800201416,255.82122802734375
7301–7400,2234.9119448661804,8760.206699371338,320.9657669067383
7401–7500,919.5299673080444,8281.414985656738,292.20080375671387
7501–7600,1899.159278869629,10338.922023773193,280.26747703552246
7601–7700,2604.28519487381,11345.530986785889,274.7321128845215
7701–7800,1776.2306499481201,12559.622287750244,250.72741508483887
7801–7900,2584.8380160331726,13607.932329177856,236.53793334960938
7901–8000,3212.215507030487,14479.598999023438,261.2748146057129
8001–8100,780.1583123207092,1136.0359191894531,272.4001407623291
8101–8200,2370.2086758613586,17050.771474838257,291.00751876831055
8201–8300,3450.173132419586,18089.664697647095,321.9799995422363
8301–8400,2618.8228607177734,17927.82235145569,254.1055679321289
8401–8500,3840.5295968055725,18209.594011306763,251.57666206359863
8501–8600,2193.6275005340576,17106.622457504272,281.3129425048828
8601–8700,1670.9230089187622,18898.730039596558,296.3299751281738
8701–8800,1674.3115162849426,19763.121843338013,298.3245849609375
8801–8900,4419.894864559174,21000.375032424927,264.47057723999023
8901–9000,2544.347438812256,21515.576601028442,297.3670959472656
9001–9100,2829.1871881484985,19654.962062835693,321.6249942779541
9101–9200,1601.5615129470825,20260.865688323975,252.94089317321777
9201–9300,1816.6029286384583,20423.70104789734,97.76902198791504
9301–9400,4649.647674560547,9652.754068374634,69.21267509460449
9401–9500,48.16157817840576,116.49346351623535,15.566825866699219
9501–9600,56.148109436035156,169.9354648590088,12.874126434326172
9601–9700,50.751378536224365,192.39330291748047,13.885974884033203
9701–9800,136.71332120895386,526.132345199585,24.127960205078125
9801–9900,135.52088260650635,861.330509185791,16.188621520996094
9901–10000,113.6918044090271,339.62106704711914,17.371416091918945
10001–10100,148.52885007858276,444.29755210876465,17.0900821685791
10101–10200,147.69133806228638,429.8877716064453,20.410776138305664
10201–10300,771.1611986160278,1995.0511455535889,76.54166221618652
10301–10400,2022.4905157089233,3416.9180393218994,237.73980140686035
10401–10500,730.9894061088562,3714.067220687866,71.09236717224121
10501–10600,314.34303045272827,758.3303451538086,131.53672218322754
10601–10700,757.2704529762268,1190.7191276550293,209.38467979431152
10701–10800,783.4356641769409,1506.8154335021973,256.4101219177246
10801–10900,327.8785991668701,1065.0255680084229,85.65020561218262
10901–11000,673.5771441459656,1246.6964721679688,177.8850555419922
11001–11100,916.7879891395569,2183.1352710723877,247.12395668029785
11101–11200,931.7303442955017,1621.2775707244873,262.559175491333
11201–11300,1005.8403658866882,1712.4271392822266,165.8320426940918
11301–11400,950.1395559310913,1746.098518371582,185.00638008117676
11401–11500,902.805016040802,1551.9351959228516,216.2489891052246
11501–11600,572.6692056655884,1227.6771068572998,177.25586891174316
11601–11700,367.55457162857056,768.1314945220947,151.3381004333496
11701–11800,1092.7044081687927,2411.809206008911,270.0622081756592
11801–11900,1681.1981797218323,2786.954879760742,374.4776248931885
