TimeSeries ID,database/postgresql/num_backends_by_application.cloudsql_database.ALIGN_MAX.REDUCE_SUM.metric.type="cloudsql.googleapis.com/database/postgresql/num_backends_by_application" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0
project_id,data-rainfall-476920-v0
database_id,data-rainfall-476920-v0:quizapp-postgres-prod
Tue Dec 02 2025 11:37:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:38:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:39:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:40:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:41:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:42:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:43:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:44:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:45:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 11:46:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:47:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:48:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:49:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:50:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:51:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:52:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:53:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:54:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 11:55:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 11:56:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 11:57:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 11:58:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 11:59:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:00:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:01:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:02:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:03:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:04:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:05:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:06:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:07:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 12:08:00 GMT+0530 (India Standard Time),5
Tue Dec 02 2025 12:09:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:10:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:11:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:12:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:13:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:14:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:15:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:16:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:17:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:18:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:19:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:20:00 GMT+0530 (India Standard Time),6
Tue Dec 02 2025 12:21:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 12:22:00 GMT+0530 (India Standard Time),14
Tue Dec 02 2025 12:23:00 GMT+0530 (India Standard Time),12
Tue Dec 02 2025 12:24:00 GMT+0530 (India Standard Time),12
Tue Dec 02 2025 12:25:00 GMT+0530 (India Standard Time),18
Tue Dec 02 2025 12:26:00 GMT+0530 (India Standard Time),10
Tue Dec 02 2025 12:27:00 GMT+0530 (India Standard Time),17
Tue Dec 02 2025 12:28:00 GMT+0530 (India Standard Time),15
Tue Dec 02 2025 12:29:00 GMT+0530 (India Standard Time),13
Tue Dec 02 2025 12:30:00 GMT+0530 (India Standard Time),13
Tue Dec 02 2025 12:31:00 GMT+0530 (India Standard Time),13
Tue Dec 02 2025 12:32:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:33:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:34:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:35:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:36:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:37:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:38:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 12:39:00 GMT+0530 (India Standard Time),4
Tue Dec 02 2025 12:40:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:41:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:42:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:43:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:44:00 GMT+0530 (India Standard Time),10
Tue Dec 02 2025 12:45:00 GMT+0530 (India Standard Time),10
Tue Dec 02 2025 12:46:00 GMT+0530 (India Standard Time),10
Tue Dec 02 2025 12:47:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:48:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:49:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:50:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:51:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:52:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:53:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 12:54:00 GMT+0530 (India Standard Time),13
Tue Dec 02 2025 12:55:00 GMT+0530 (India Standard Time),12
Tue Dec 02 2025 12:56:00 GMT+0530 (India Standard Time),11
Tue Dec 02 2025 12:57:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 12:58:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 12:59:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 13:00:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 13:01:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 13:02:00 GMT+0530 (India Standard Time),7
Tue Dec 02 2025 13:03:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:04:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:05:00 GMT+0530 (India Standard Time),12
Tue Dec 02 2025 13:06:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 13:07:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 13:08:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:09:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:10:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:11:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:12:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:13:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:14:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:15:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:16:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:17:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:18:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:19:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:20:00 GMT+0530 (India Standard Time),8
Tue Dec 02 2025 13:21:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 13:22:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 13:23:00 GMT+0530 (India Standard Time),9
Tue Dec 02 2025 13:24:00 GMT+0530 (India Standard Time),9
