TimeSeries ID,database/postgresql/tuple_size.cloudsql_database.ALIGN_MEAN.REDUCE_SUM.metric.type="cloudsql.googleapis.com/database/postgresql/tuple_size" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.tuple_state:dead,database/postgresql/tuple_size.cloudsql_database.ALIGN_MEAN.REDUCE_SUM.metric.type="cloudsql.googleapis.com/database/postgresql/tuple_size" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.tuple_state:live,database/postgresql/tuple_size.cloudsql_database.ALIGN_MEAN.REDUCE_SUM.metric.type="cloudsql.googleapis.com/database/postgresql/tuple_size" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.tuple_state:toast_dead,database/postgresql/tuple_size.cloudsql_database.ALIGN_MEAN.REDUCE_SUM.metric.type="cloudsql.googleapis.com/database/postgresql/tuple_size" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.tuple_state:toast_live
tuple_state,dead,live,toast_dead,toast_live
project_id,data-rainfall-476920-v0,data-rainfall-476920-v0,data-rainfall-476920-v0,data-rainfall-476920-v0
database_id,data-rainfall-476920-v0:quizapp-postgres-prod,data-rainfall-476920-v0:quizapp-postgres-prod,data-rainfall-476920-v0:quizapp-postgres-prod,data-rainfall-476920-v0:quizapp-postgres-prod
Tue Dec 02 2025 11:37:00 GMT+0530 (India Standard Time),30,540,1,5
Tue Dec 02 2025 11:38:00 GMT+0530 (India Standard Time),42,540,1,5
Tue Dec 02 2025 11:39:00 GMT+0530 (India Standard Time),54,540,1,5
Tue Dec 02 2025 11:40:00 GMT+0530 (India Standard Time),66,540,1,5
Tue Dec 02 2025 11:41:00 GMT+0530 (India Standard Time),78,540,1,5
Tue Dec 02 2025 11:42:00 GMT+0530 (India Standard Time),30,540,1,5
Tue Dec 02 2025 11:43:00 GMT+0530 (India Standard Time),42,540,1,5
Tue Dec 02 2025 11:44:00 GMT+0530 (India Standard Time),54,540,1,5
Tue Dec 02 2025 11:45:00 GMT+0530 (India Standard Time),66,540,1,5
Tue Dec 02 2025 11:46:00 GMT+0530 (India Standard Time),80,541,1,5
Tue Dec 02 2025 11:47:00 GMT+0530 (India Standard Time),32,541,1,5
Tue Dec 02 2025 11:48:00 GMT+0530 (India Standard Time),44,541,1,5
Tue Dec 02 2025 11:49:00 GMT+0530 (India Standard Time),56,541,1,5
Tue Dec 02 2025 11:50:00 GMT+0530 (India Standard Time),68,541,1,5
Tue Dec 02 2025 11:51:00 GMT+0530 (India Standard Time),80,541,1,5
